from,to,weight
0,4,5
1,11,5
1,5,5
1,7,5
1,2,10
3,7,5
3,6,5
3,9,10
5,7,10
11,5,10
11,7,10
10,14,10
12,6,5
12,8,5
12,26,10
12,16,5
14,13,5
14,8,5
17,4,5
17,0,5
18,19,10
20,29,10
20,21,10
21,29,10
22,5,5
22,3,5
22,2,5
22,1,5
22,16,5
22,7,5
22,6,5
24,9,5
24,20,5
24,15,5
25,26,5
25,15,5
25,12,5
25,16,5
25,20,5
25,21,5
25,6,5
26,16,5
27,10,5
29,27,5
29,15,5
30,4,5
30,0,5
31,6,5
31,15,5
31,12,5
31,16,5
31,26,5
32,3,5
32,16,5
32,7,5
32,15,5
33,32,5
33,16,5
33,1,5
33,5,5
33,7,5
33,3,5
14,32,1
1,3,1
1,13,1
13,3,1
13,7,1
13,22,1
13,33,1
22,33,1
14,3,1
0,3,1
0,12,1
0,14,1
0,22,1
12,3,1
12,14,1
12,22,1
14,22,1
18,6,1
28,3,1
22,28,1
28,33,1
1,10,1
10,7,1
1,27,1
2,7,1
11,2,1
2,27,1
2,33,1
27,7,1
11,22,1
11,27,1
11,33,1
22,27,1
27,33,1
0,26,1
0,32,1
14,26,1
26,32,1
14,33,1
3,4,1
14,27,1
19,30,1
12,33,1
14,30,1
21,6,1
14,20,1
25,3,1
26,3,1
27,3,1
29,3,1
26,6,1
27,6,1
29,6,1
12,27,1
12,29,1
22,25,1
22,26,1
22,29,1
25,27,1
25,29,1
26,27,1
26,29,1
14,4,1
22,9,1
28,9,1
18,3,1
21,3,1
12,18,1
12,21,1
18,21,1
1,14,1
14,7,1
12,20,1
0,18,1
33,6,1
18,30,1
22,32,1
2,3,1
23,3,1
18,4,1
10,22,1
14,25,1
3,31,1
20,3,1
12,19,1
18,26,1
19,26,1
11,3,1
11,6,1
11,18,1
14,29,1
25,31,1
29,31,1
14,23,1
23,32,1
1,6,1
18,29,1
10,11,1
11,14,1
3,5,1
19,3,1
10,18,1
1,19,1
20,6,1
28,7,1
10,5,1
0,10,1
12,23,1
22,23,1
23,25,1
23,26,1
17,18,1
20,26,1
20,31,1
24,3,1
23,6,1
24,6,1
32,6,1
12,24,1
12,32,1
22,24,1
22,31,1
23,24,1
23,27,1
23,29,1
23,31,1
23,33,1
24,25,1
24,27,1
24,29,1
24,31,1
24,32,1
24,33,1
25,32,1
25,33,1
27,31,1
27,32,1
29,32,1
29,33,1
31,32,1
31,33,1
25,7,1
11,25,1
10,29,1
17,19,1
19,20,1
19,29,1
12,13,1
13,20,1
13,31,1
0,27,1
27,4,1
27,30,1
1,29,1
1,12,1
12,5,1
27,5,1
12,7,1
10,12,1
10,33,1
11,12,1
17,30,1
14,21,1
0,19,1
21,26,1
4,9,1
26,4,1
14,6,1
12,4,1
12,17,1
12,30,1
14,17,1
19,25,1
19,31,1
19,22,1
19,24,1
19,32,1
19,33,1
24,26,1
26,33,1
0,7,1
0,11,1
10,26,1
14,31,1
14,9,1
18,9,1
14,18,1
11,13,1
19,21,1
21,31,1
10,13,1
10,3,1
10,24,1
10,25,1
10,31,1
10,32,1
10,4,1
20,23,1
12,9,1
0,20,1
18,25,1
20,27,1
15,6,1
12,15,1
15,20,1
15,21,1
15,22,1
15,26,1
15,27,1
15,33,1
20,22,1
20,32,1
20,33,1
21,22,1
21,24,1
21,27,1
21,32,1
21,33,1
14,5,1
32,9,1
0,1,1
1,4,1
19,6,1
13,21,1
13,27,1
13,29,1
10,15,1
10,20,1
24,28,1
28,32,1
29,7,1
11,29,1
18,27,1
