id,handle,followers_count,friends_count,isProxy
0,"WWE",12740215,403,0
1,"BILD_Sport",337020,281,0
2,"Fussball_Bild",138625,61,0
3,"ProSieben",1791380,26430,0
4,"WWEUniverse",5664283,56420,0
5,"Bundesliga_DE",2407051,42,0
6,"LeFloid",1070407,171,0
7,"DFB_Team",3283530,239,0
8,"edsheeran",17550714,0,0
9,"GalileoLIVE",82099,28,0
10,"EASPORTSFIFA",9281032,361,0
11,"Eintracht",585526,169,0
12,"Cheng_Loew",611426,252,0
13,"freekickerz",82254,58,0
14,"SkillTwins",71521,10008,0
15,"jstin17",212256,11,0
16,"ApeCrime",944467,0,0
17,"GMSmackDown",134618,20,0
18,"FranzZockt",2552,760,0
19,"PerkkiXWWE",6421,192,0
20,"AviveHD",78792,143,0
21,"MarcelScorpion",152258,243,0
22,"connym16",2,93,0
23,"ElliRothensee",15,54,0
24,"Fcb31Luca",2,36,0
25,"KsFreakWhatElse",38258,87,0
26,"janmeyer",701610,123,0
27,"Erne_FeelFIFA",62157,49,0
28,"RSinkel",1,9,0
29,"ViscaBarcaCoD",131224,211,0
30,"WWESuperCard",232602,83,0
31,"hannah_0212",11,77,0
32,"KnorzTim",12,41,0
33,"xLama_Lukas",16,92,0
